Código,País,1970,,,,1971,,,,1972,,,,1973,,,,1974,,,,1975,,,,1976,,,,1977,,,,1978,,,,1979,,,,1980,,,,1981,,,,1982,,,,1983,,,,1984,,,,1985,,,,1986,,,,1987,,,,1988,,,,1989,,,,1990,,,,1991,,,,1992,,,,1993,,,,1994,,,,1995,,,,1996,,,,1997,,,,1998,,,,1999,,,,2000,,,,2001,,,,2002,,,,2003,,,,2004,,,,2005,,,,2006,,,,2007,,,,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023,,,2024*,,
 448 , Macedonia ,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,"14,002,856","1,671,287","3,267,173,685",,93,"3,201","7,385,670",,"2,261","75,257","176,823,077",,"1,300","27,891","80,845,223",,39,487,"1,305,283",,0,0,0,,"49,550","149,999","346,984,811",,"8,068","13,494","25,585,455",,"83,392","342,432","628,833,391",,"25,214","12,924","28,555,231",,"2,670","48,477","95,232,202",,"2,167","47,212","90,050,752",,"21,902","6,425","11,297,064",,971,"5,000","9,627,250",,"25,000","15,325","31,323,687",,68,34,"111,408",,51,204,"670,605",,839,"1,324","3,858,021",," 50,125 "," 28,348 "," 88,641,535 ",," 25,075 "," 23,663 "," 76,449,583 ",,"373,975","205,184","763,702,018",,"471,625","260,896","979,362,011",," 449,900 "," 263,940 "," 1,105,609,102 ",," 424,850 "," 287,157 "," 1,232,142,533 "," 177,150 "," 991,260 "," 3,902,170,017 "
 450 , Madagascar ,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,650,"1,440",0,,975,"2,400",0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,700,"2,100","126,504",,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,"4,296","22,889","14,020,832",,0,0,0,,0,0,0,,"18,000","20,700","16,863,669",,"59,089","69,071","64,069,756",,"8,500","11,985","11,991,592",,"8,500","13,600","14,622,448",,"9,000","15,120","20,965,543",,"9,000","15,120","28,564,704",,0,0,0,,"65,839","387,250","889,361,619",,"19,118","36,488","91,982,694",,"9,722","8,750","25,014,675",,"53,971","239,566","648,616,531",,"9,621","13,487","31,596,762",,"6,447","90,317","212,989,001",,"42,671","149,713","304,198,670",,"101,437","211,565","428,636,612",,"49,988","146,367","295,821,902",,"139,940","140,555","264,237,529",,"69,024","150,313","284,104,676",,"50,664","154,148","277,692,863",,"147,392","323,412","611,004,050",,"24,269","67,403","138,331,234",,"2,180","54,561","147,815,330",,"164,661","309,591","933,308,571",,"49,493","106,475","314,090,797",," 119,435 "," 232,798 "," 699,333,471 ",," 186,197 "," 313,245 "," 1,054,813,618 ",,"124,365","261,403","942,112,253",,"52,577","139,048","497,647,510",," 145,323 "," 273,789 "," 1,175,624,281 ",," 203,508 "," 435,513 "," 1,854,569,899 "," 47,992 "," 119,566 "," 464,953,315 "
 455 , Malasia ,10,19,0,,0,0,0,,"14,600,000","2,419,139",0,,"2,000,005","308,815",0,,"1,201","3,876",0,,175,462,0,,"114,068","52,568",0,,"22,460","22,086",0,,"33,982","108,229",0,,"6,349","60,893",0,,"2,226","20,990","965,680",,"7,067","13,494","718,761",,"9,137","253,418","16,378,751",,"3,173","10,714","891,079",,143,"13,502","1,463,137",,"1,611","65,455","9,737,407",,"17,774","37,003","7,049,884",,"7,280","35,134","8,910,329",,522,"28,197","8,365,266",,"1,047,237","3,091,668","1,182,503,450",,"1,326,059","2,232,658","1,077,743,132",,"615,565","1,145,396","784,281,435",,"338,483","528,412","364,262,245",,"544,154","745,878","590,907,168",,"144,133","543,311","449,461,024",,"2,192,772","2,632,340","2,429,514,127",,"1,682,500","2,298,438","2,383,821,970",,"458,322","1,575,637","1,815,592,551",,"240,527","977,121","1,371,860,636",,"228,787","854,132","1,519,264,626",,"645,231","1,269,106","2,636,624,397",,"278,420","1,304,861","2,996,902,408",,"271,769","1,084,571","2,709,847,812",,"430,413","1,021,537","2,924,736,129",,"359,817","1,241,946","3,267,422,052",,"421,373","1,899,666","4,408,705,496",,"413,127","3,421,794","8,026,492,914",,"529,885","3,119,981","6,435,289,164",,"705,012","4,739,929","9,698,589,082",,"913,171","5,507,372","11,942,896,387",,"95,726,822","51,095,775","91,774,276,485",,"2,694,324","14,083,794","26,067,810,669",,"284,325,920","221,575,192","397,669,847,702",,"147,130,209","106,747,901","202,077,186,611",,"4,732,029","23,876,353","47,969,184,424",,"160,349,625","100,093,685","266,810,579,548",,"276,370,054","95,434,037","284,157,933,173",,"532,625,376","206,065,672","613,929,810,910",," 381,675,254 "," 167,730,130 "," 487,947,289,589 ",," 21,293,272 "," 55,707,135 "," 183,078,290,079 ",,"95,717,426","58,220,730","211,725,441,335",,"64,780,835","76,172,119","288,825,958,601",," 115,733,039 "," 131,520,700 "," 565,784,234,243 ",," 626,686,850 "," 320,822,242 "," 1,423,838,734,898 "," 51,546,830 "," 33,909,722 "," 132,160,348,316 "
 458 , Malawi ,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,"30,060",0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,98,"1,300","522,340",,0,0,0,,410,"6,500","3,796,455",,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,"18,000","186,062","420,901,058",,"92,160","144,000","288,780,120",,"230,424","382,510","842,904,325",,"183,292","306,099","698,427,883",,"4,627","86,256","166,552,388",,"45,722","93,981","165,938,358",,0,0,0,,0,0,0,,"44,674","87,261","162,020,117",,990,"16,810","43,303,401",,0,0,0,,0,0,0,," 4,182 "," 8,000 "," 22,592,400 ",, 600 ," 20,575 "," 65,647,830 ",,0,0,0,,0,0,0,, -   , -   , -   ,," 78,200 "," 454,569 "," 1,783,498,731 ", -   , -   , -   
 461 , Maldivas ,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,924,"2,552","5,977,730",,"4,000","9,193","26,779,209",,0,0,0,,0,0,0,,15,"5,013","12,013,053",,18,"7,269","16,096,543",,0,0,0,,0,0,0,,0,0,0,,135,750,"1,325,468",,0,0,0,,113,"39,356","72,607,148",,794,"22,602","48,363,870",,797,"26,169","79,703,571",,63,"8,638","26,620,156",,"24,757","71,831","211,935,057",," 7,118 "," 101,275 "," 308,298,003 ",," 14,430 "," 60,143 "," 195,259,737 ",,184,"1,848","7,284,668",,"13,850","12,390","46,664,065",, 256 ," 12,777 "," 52,639,918 ",, 854 ," 28,785 "," 121,363,845 ", 167 ," 61,476 "," 234,562,123 "
 464 , Mali ,0,0,0,,"40,000","20,000",0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,"40,000","72,000","12,181,680",,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,"3,000","20,000","13,874,400",,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,592,"39,846","75,277,063",,"16,740","34,149","72,963,778",,0,0,0,,"7,524,000","1,413,820","3,970,663,619",,"14,320","27,204","77,831,924",,"2,288,000","371,714","971,493,210",,"20,481","64,400","153,822,880",,0,0,0,,"142,352","309,546","631,802,497",,0,0,0,,"24,054","18,041","36,820,779",,0,0,0,,"120,000","43,830","82,911,066",,0,0,0,,0,0,0,,100,"3,356","6,945,463",,0,0,0,,"90,697","152,119","460,800,940",,"218,385","2,151,651","6,245,726,721",," 241,826 "," 395,855 "," 1,197,748,957 ",," 340,726 "," 589,794 "," 1,923,416,744 ",,"115,996","189,719","683,568,340",,"181,736","303,029","1,144,038,652",," 207,640 "," 345,222 "," 1,550,017,127 ",," 231,016 "," 434,831 "," 1,847,573,425 "," 252,261 "," 466,223 "," 1,810,256,757 "
 467 , Malta ,9,75,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,"6,145","13,524",0,,"39,328","236,994",0,,"12,312","92,340",0,,0,0,0,,0,0,0,,"43,274","174,220","8,698,805",,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,"345,576","64,408","14,481,494",,200,"1,000","321,070",,"289,500","12,758","5,355,298",,"284,134","90,144","47,824,998",,0,0,0,,"30,651","199,764","137,672,985",,"458,578","124,150","99,656,447",,"1,871,740","501,671","413,351,262",,"96,179,330","10,427,248","10,276,509,685",,"3,329","9,036","9,355,502",,"2,717","8,384","8,892,322",,0,0,0,,0,0,0,,"11,918","29,870","64,337,973",,"35,503","90,174","205,974,986",,"23,555","92,217","239,677,996",,"631,213","188,702","544,586,069",,"695,783","230,324","614,894,088",,"3,870","9,969","23,248,896",,"57,713","843,538","2,006,390,275",,"48,425","825,864","1,730,524,957",,"12,803","53,223","108,676,854",,"35,851","115,100","244,993,803",,"4,918","25,023","45,939,926",,"19,354","117,634","221,612,134",,"64,143","198,394","354,170,365",,"15,808","110,992","207,731,196",,"19,917","135,527","264,091,168",,"761,209","477,886","1,334,377,904",,"97,336,583","17,333,117","51,329,179,090",,"1,123,060","546,682","1,611,998,120",," 818,329 "," 708,247 "," 2,072,299,630 ",," 1,156,695 "," 646,043 "," 2,160,338,373 ",,"52,674,988","13,227,166","43,981,294,287",,"50,040,741","21,849,833","82,422,217,384",," 15,508 "," 45,645 "," 181,631,409 ",," 300,524 "," 232,112 "," 1,016,529,569 "," 53,218 "," 60,049 "," 236,451,249 "
 468 ," Man, Isla ",0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,, 0 , 0 , 0 ,, 0 , 0 , 0 ,,0,0,0,,0,0,0,, -   , -   , -   ,, -   , -   , -   , -   , -   , -   
 469 ," Marianas del Norte, Islas ",0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,"1,727","55,771","75,798,438",,"8,501","258,960","420,073,592",,0,0,0,,"8,478","240,122","555,647,328",,0,0,0,,0,0,0,,225,"2,170","5,640,214",,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,, 0 , 0 , 0 ,, 0 , 0 , 0 ,,0,0,0,,"4,664","11,550","43,685,219",, -   , -   , -   ,, -   , -   , -   , -   , -   , -   
 472 ," Marshall, Islas ",0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,60,233,"668,079",,0,0,0,,"42,480","21,466","49,221,988",,0,0,0,,"116,521","233,621","470,293,398",,"79,708","220,800","439,929,180",,0,0,0,,0,0,0,,0,0,0,,0,0,0,,832,"3,120","6,041,350",,"1,685","8,164","16,462,166",,0,0,0,,0,0,0,,0,0,0,, 0 , 0 , 0 ,, 0 , 0 , 0 ,,0,0,0,,0,0,0,, -   , -   , -   ,, -   , -   , -   , -   , -   , -   
 474 , Marruecos ,"349,315","190,514",0,,"438,282","236,088",0,,"1,145,204","453,453",0,,"1,607,344","961,433",0,,"1,481,771","905,995",0,,"1,015,615","693,678",0,,"1,824,816","2,256,538",0,,"3,004,621","2,762,799",0,,"2,595,435","2,464,294",0,,"26,230,693","6,348,364",0,,"2,684,712","3,816,845","182,753,229",,"981,036","1,776,498","95,341,143",,"844,051","2,370,128","148,361,343",,"12,886,752","4,893,346","394,768,034",,"4,822,740","2,803,558","269,233,157",,"27,200,310","4,462,265","672,503,447",,"54,462,653","7,303,588","1,525,492,480",,"236,506,280","10,443,489","2,600,698,999",,"683,138,657","30,259,903","9,251,769,041",,"30,467,335","2,561,849","899,386,255",,"1,554,022","2,769,728","1,381,976,723",,"955,416","1,796,923","1,126,387,408",,"4,153,467","4,978,897","3,325,153,487",,"28,870,015","8,577,020","6,899,213,874",,"1,941,326","3,209,299","2,660,078,751",,"396,785,398","17,267,918","15,147,434,501",,"9,871,266","5,199,954","5,483,090,744",,"62,658,056","9,918,784","10,777,526,799",,"38,261,589","4,556,426","6,369,824,059",,"41,780,612","9,782,259","15,748,078,063",,"20,847,879","4,811,539","9,767,150,350",,"648,175","1,111,828","2,557,752,692",,"1,773,868","1,590,380","3,854,456,124",,"65,010,493","3,731,306","10,614,716,071",,"506,121,722","22,617,122","58,922,702,572",,"121,940,781","9,123,685","21,259,806,549",,"70,853,651","7,873,163","18,530,384,198",,"685,407,879","35,592,777","72,187,995,560",,"191,285,140","16,547,036","30,435,808,976",,"885,497,842","83,992,607","179,487,255,391",,"152,186,380","22,255,519","43,230,243,751",,"63,670,507","9,540,779","18,161,254,509",,"1,294,648","4,189,132","7,504,486,877",,"1,507,835","4,277,492","8,004,386,404",,"1,466,027","4,631,189","9,338,272,125",,"1,192,290","3,044,247","8,185,991,056",,"57,009,083","5,793,810","17,442,741,654",,"304,636,483","30,770,802","90,764,144,840",," 169,007,418 "," 21,601,250 "," 62,604,341,022 ",," 139,317,360 "," 17,137,735 "," 56,735,858,898 ",,"157,293,469","12,540,484","45,737,523,584",,"191,628,234","36,321,812","137,017,071,567",," 401,109,978 "," 109,698,445 "," 458,852,591,756 ",," 1,691,573,978 "," 174,871,470 "," 726,438,197,346 "," 200,290,236 "," 21,427,044 "," 83,408,239,769 "
 477 , Martinica ,"28,762,767","1,328,639",0,,"32,765,070","2,329,130",0,,"5,033,629","1,530,833",0,,"1,816,783","1,760,360",0,,"2,112,848","2,030,133",0,,"774,847","908,004",0,,"3,719,523","1,461,061",0,,"4,427,763","1,637,364",0,,"4,443,329","908,207",0,,"175,666","319,789",0,,"364,927","573,015","27,365,391",,"71,566","274,369","14,884,697",,"62,591","145,713","9,396,097",,"25,498","95,316","7,366,875",,"20,890","72,204","7,124,940",,"3,914","26,070","3,498,153",,"55,362","138,051","27,522,315",,"45,427","201,371","49,073,844",,"361,737","665,060","198,261,535",,"35,384","236,767","91,109,909",,"58,898","316,680","162,711,013",,"193,634","741,438","471,732,815",,"13,549,653","1,808,343","1,230,873,052",,"512,336","2,081,857","1,642,943,008",,"506,065","2,247,555","1,853,525,515",,"391,057","2,345,715","2,107,774,757",,"376,798","2,514,040","2,619,552,332",,"494,339","3,000,825","3,415,965,614",,"308,652","1,767,117","2,537,072,405",,"306,705","1,927,767","3,378,661,236",,"427,854","2,404,608","5,095,348,196",,"7,222,357","2,466,966","5,672,130,217",,"493,377","2,324,201","5,771,640,001",,"1,289,893","2,291,888","6,593,717,289",,"3,083,653","3,319,706","8,661,369,517",,"2,846,266","3,277,798","7,609,549,652",,"2,128,336","2,907,135","6,859,419,905",,"13,739,323","4,416,423","9,179,873,831",,"24,795,612","6,068,213","11,793,645,761",,"1,710,200","3,210,692","6,869,167,094",,"2,046,421","3,157,287","6,005,280,381",,"1,392,591","3,310,570","6,137,256,415",,"1,254,615","3,443,559","6,187,868,965",,"1,355,712","3,157,009","5,902,542,607",,"1,458,516","3,219,317","6,479,447,704",,"2,652,562","2,752,378","7,257,157,291",,"1,039,413","1,805,940","5,528,438,176",,"1,876,532","2,193,021","6,478,771,028",," 2,229,890 "," 2,405,298 "," 7,042,986,329 ",," 2,448,871 "," 2,639,856 "," 8,698,519,806 ",,"2,570,131","2,341,710","8,651,084,104",,"3,078,131","3,364,960","12,616,548,969",," 2,888,948 "," 3,642,553 "," 15,240,181,499 ",," 2,874,366 "," 4,526,005 "," 19,935,850,232 "," 1,214,416 "," 1,742,131 "," 6,775,205,037 "
 485 , Mauricio ,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,"500,040","2,240,802",0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,"3,000",1,80,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,"13,280,580","371,856","172,318,070",,0,0,0,,0,0,0,,0,0,0,,"28,486","60,060","49,298,980",,"22,147","176,065","169,026,761",,"22,443","113,265","116,622,175",,0,0,0,,345,"5,386","7,466,504",,838,"8,480","13,145,273",,530,"8,232","16,152,482",,0,0,0,,0,0,0,,0,0,0,,0,0,0,,"3,200","18,554","42,194,525",,"231,951","414,058","931,008,380",,"115,680","186,003","413,184,388",,560,"2,500","4,554,000",,233,"16,694","32,135,998",,196,"29,712","55,921,831",,575,"109,087","204,762,222",,170,"36,134","65,103,470",,"10,887","61,491","112,533,229",,"97,786","229,987","444,834,801",,"56,187","148,223","418,055,372",,"67,608","158,416","498,806,248",,"6,801","52,067","156,909,144",," 8,786 "," 132,354 "," 416,925,173 ",, 421 ," 45,335 "," 144,370,073 ",,"6,336","12,910","43,703,226",,0,0,0,," 12,776 "," 74,485 "," 368,366,993 ",," 5,843,969 "," 3,970,838 "," 15,935,828,120 "," 2,135 "," 69,048 "," 271,603,271 "
 488 , Mauritania ,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,30,"6,636",0,,"38,915","16,750","795,960",,"5,364","38,191","1,995,098",,0,0,0,,0,0,0,,"32,000","87,149","9,231,694",,0,0,0,,0,0,0,,845,"6,956","1,651,632",,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,"24,960","34,611","26,712,770",,0,0,0,,0,0,0,,0,0,0,,"1,500","18,500","22,616,065",,0,0,0,,"8,300,000","1,701,500","2,882,323,985",,0,0,0,,0,0,0,,"14,000,000","2,674,495","6,052,676,379",,"28,007,966","5,245,637","15,084,227,792",,0,0,0,,0,0,0,,"34,239","29,311","69,526,828",,"24,772","36,651","71,372,668",,"114,306","227,848","511,603,747",,"120,503","212,282","465,832,666",,"68,099","124,816","236,777,769",,"254,691","947,948","1,739,011,028",,"132,564","354,559","634,544,763",,"1,893,802","948,956","1,817,089,758",,"17,606,650","8,063,111","15,954,654,685",,547,"20,557","55,917,367",,0,0,0,,0,0,0,, 0 , 0 , 0 ,," 20,000,288 "," 6,331,925 "," 19,926,738,618 ",,"24,172","75,565","267,049,094",,644,"22,803","85,860,820",," 58,633 "," 423,786 "," 1,988,939,463 ",," 58,696 "," 489,024 "," 2,298,241,812 ", 716 ," 25,092 "," 96,159,068 "
 489 , Mayote ,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,, 0 , 0 , 0 ,, 0 , 0 , 0 ,,0,0,0,,0,0,0,, -   , -   , -   ,, -   , -   , -   , -   , -   , -   
 493 , México ,"33,964,618","1,556,493",0,,"1,570,513","1,146,722",0,,"3,764,690","2,335,138",0,,"21,900,628","4,053,875",0,,"38,888,443","9,983,713",0,,"7,062,683","5,836,981",0,,"8,090,241","6,532,132",0,,"69,507,519","8,916,088",0,,"23,732,360","5,775,238",0,,"115,985,305","10,867,598",0,,"190,223,605","19,882,397","945,783,121",,"198,062,355","20,960,950","1,146,204,324",,"127,134,978","17,143,227","1,081,384,168",,"93,201,034","20,761,887","1,690,972,758",,"106,513,923","9,667,951","986,329,589",,"54,783,076","6,351,056","845,207,906",,"60,839,447","10,945,085","2,115,443,157",,"2,583,461","8,272,079","2,028,771,279",,"138,680,433","18,194,411","5,566,143,277",,"50,646,532","25,149,584","9,685,851,062",,"35,077,296","40,892,376","21,085,857,402",,"145,866,349","55,290,046","35,355,299,195",,"207,343,418","71,147,653","48,747,819,450",,"195,069,388","79,485,400","62,739,610,530",,"134,402,638","108,473,136","89,528,137,358",,"293,171,630","89,694,312","81,103,975,190",,"90,072,922","89,166,090","92,216,039,594",,"113,099,369","113,968,742","130,571,924,720",,"79,176,036","128,536,896","183,066,674,160",,"514,109,034","201,850,771","360,905,164,572",,"292,756,593","230,474,411","483,761,262,846",,"187,225,781","262,144,677","603,481,019,905",,"172,674,141","311,470,663","786,065,629,544",,"376,386,389","359,996,886","1,035,956,522,802",,"795,191,166","525,667,767","1,378,392,009,162",,"635,647,806","566,959,103","1,314,143,691,600",,"705,878,177","586,829,131","1,382,094,541,430",,"288,978,408","499,664,244","1,034,605,909,735",,"616,065,930","582,368,388","1,128,208,224,672",,"551,707,243","535,705,615","1,149,690,217,172",,"1,290,993,022","638,214,736","1,209,071,136,279",,"680,503,452","704,938,268","1,304,258,305,131",,"473,928,293","835,104,453","1,500,817,699,778",,"641,999,692","863,806,444","1,617,336,436,498",,"1,300,056,799","914,415,882","1,824,835,368,924",,"1,038,724,581","914,260,267","2,508,720,461,026",,"654,172,649","936,877,803","2,841,368,792,862",,"7,551,183,443","1,536,661,545","4,540,249,939,733",," 6,361,437,759 "," 1,638,111,768 "," 4,838,635,866,660 ",," 5,285,078,922 "," 1,408,993,739 "," 4,608,196,634,229 ",,"4,392,726,966","1,161,018,142","4,239,160,582,852",,"1,215,043,210","1,202,671,745","4,536,085,655,879",," 3,280,943,225 "," 1,752,313,710 "," 7,508,270,700,695 ",," 4,331,904,630 "," 1,878,578,601 "," 8,175,574,843,015 "," 2,100,353,556 "," 899,729,331 "," 3,504,586,067,458 "
 494 ," Micronesia, Estados Federados de ",0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,"1,185","12,646","32,998,144",,0,0,0,,"1,580","5,535","13,283,557",,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,," 51,690 "," 21,647 "," 66,924,935 ",, 0 , 0 , 0 ,,0,0,0,,0,0,0,, -   , -   , -   ,, -   , -   , -   , -   , -   , -   
 495 ," Midway, islas ",0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,"36,000","137,280","78,811,075",,0,0,0,,0,0,0,,763,"10,052","8,235,541",,"1,100","60,000","60,034,800",,"144,695","166,224","175,019,897",,"27,398","35,134","44,112,174",,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,, 0 , 0 , 0 ,, 0 , 0 , 0 ,,0,0,0,,0,0,0,, -   , -   , -   ,, -   , -   , -   , -   , -   , -   
 496 ," Moldavia, República de ",0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,374,"2,059","1,718,381",,0,0,0,,0,0,0,,"8,468","119,930","139,307,312",,0,0,0,,0,0,0,,11,200,"424,034",,0,0,0,,572,"15,597","43,347,053",,117,"3,481","10,140,153",,0,0,0,,"16,517","26,640","60,616,656",,10,320,"760,275",,"2,405","102,642","209,890,632",,173,"1,914","3,874,044",,745,"4,009","8,582,087",,20,274,"512,293",,566,"3,933","7,204,209",,361,"5,504","9,866,469",,"87,405","74,369","142,691,678",,153,"4,621","9,192,715",,"45,433","69,510","198,784,037",,"3,937","21,333","62,814,545",,"2,808","14,516","42,015,005",," 5,807 "," 31,269 "," 91,953,349 ",, 471 ," 2,946 "," 9,509,945 ",,58,330,"1,103,476",,492,"3,119","11,715,468",," 3,552 "," 20,704 "," 92,997,072 ",," 55,134 "," 559,646 "," 2,430,296,643 "," 52,825 "," 366,564 "," 1,432,390,319 "
