Código,País,Enero - Diciembre 1980,,Enero - Diciembre 1981,,Enero - Diciembre 1982,,Enero - Diciembre 1983,,Enero - Diciembre 1984,,Enero - Diciembre 1985,,Enero - Diciembre 1986,,Enero - Diciembre 1987,,Enero - Diciembre 1988,,Enero - Diciembre 1989,,Enero - Diciembre 1990,,Enero - Diciembre 1991,,Enero - Diciembre 1992,,Enero - Diciembre 1993,,Enero - Diciembre 1994,,Enero - Diciembre 1995,,Enero - Diciembre 1996,,Enero - Diciembre 1997,,Enero - Diciembre 1998,,Enero - Diciembre 1999,,Enero - Diciembre 2000,,,,,Enero - Diciembre 2001,,,,,Enero - Diciembre 2002,,,,,Enero - Diciembre 2003,,,,,Enero - Diciembre 2004,,,,,Enero - Diciembre 2005,,,,,Enero - Diciembre 2006,,,,,Enero - Diciembre 2007,,,,,Enero - Diciembre 2008,,,,,Enero - Diciembre 2009,,,,,Enero - Diciembre 2010,,,,,Enero - Diciembre 2011,,,,,Enero - Diciembre 2012,,,,,Enero - Diciembre 2013,,,,,Enero - Diciembre 2014,,,,,Enero - Diciembre 2015,,,,,Enero - Diciembre 2016,,,,,Enero - Diciembre 2017,,,,,Enero - Diciembre 2018,,,,,Enero-diciembre2019,,,,,Enero-diciembre2020,,,,,Enero-diciembre2021,,,,Enero - diciembre 2022,,,,Enero - diciembre 2023,,,,Enero - mayo 2024,,,
193,Costa de Marfil,"117,659",,"40,846",,"44,673",,"53,960",,"12,987",,"26,088",,"95,558",,"78,785",,0,,"446,714",,"66,242",,"29,577",,"65,226",,"97,934",,0,,"47,391",,"1,310,500",,"408,918",,"446,534",,"305,908",,"221,285","482,114,701","211,449","17,816",,"495,529","1,128,915,375","471,688","26,296",,"529,894","1,224,475,545","506,786","71,393",,"46,826","3,060,815,051","1,020,827","46,910",,"1,259,348","3,308,574,574","1,203,099","71,385",,"458,619","1,073,125,184","439,037","81,027",,"1,232,716","2,900,073,276","1,185,858","28,646",,"842,500","1,730,055,816","812,051","53,658",,"671,795","1,283,474,782","653,704","23,034",,"687,520","1,574,082,922","673,610","64,779",,"84,068","163,541,148","82,107",94,,"32,747","59,434,400","25,434","6,613",,"176,435","318,334,212","161,755",898,,"15,663,047","30,078,106,348","14,605,242","6,067,518",,"2,860,124","5,644,479,360","2,719,880","1,483,808",,"976,971","2,341,582,777","831,859","747,488",,"2,582,168","7,951,690,179","2,390,204","1,012,793",,"1,491,107","4,463,592,350","1,394,217","624,222",,"6,037,505","18,411,526,355","5,364,315","3,578,338",,"3,615,035","11,966,310,160","3,028,094","2,454,488",,"7,058,982","25,983,694,189","6,049,925","5,040,438",,"6,879,555","25,603,436,270","5,900,744","4,508,657","5,580,432","24,039,544,959","4,805,949","3,211,224","5,015,409","23,124,297,275","4,409,679","2,736,944","1,542,723","6,051,859,901","1,355,046","780,862"
196,Costa Rica,"1,221,126",,"2,784,123",,"4,925,155",,"1,333,344",,"1,655,784",,"1,314,171",,"1,784,242",,"1,142,526",,"4,687,803",,"2,116,292",,"2,898,690",,"3,309,127",,"3,714,416",,"7,110,197",,"6,726,409",,"6,980,532",,"9,357,117",,"14,420,519",,"17,021,596",,"13,103,873",,"12,670,797","26,471,138,562","11,055,542","15,820,535",,"14,327,594","32,938,771,217","12,888,303","13,847,611",,"15,789,646","40,322,400,313","14,473,923","10,468,860",,"54,936,949","54,608,706,980","17,494,941","11,272,588",,"22,918,783","60,278,358,469","21,188,119","13,150,256",,"25,139,134","58,369,866,974","23,379,288","12,392,826",,"35,670,443","84,514,288,989","33,452,933","13,401,754",,"38,420,989","79,871,010,962","35,972,829","19,578,029",,"54,212,414","105,966,079,337","50,641,956","29,001,190",,"33,643,975","72,330,232,054","31,387,687","16,473,591",,"52,417,725","98,640,921,796","49,061,884","30,659,784",,"57,580,229","106,331,790,595","53,659,257","23,139,464",,"72,533,521","130,342,009,899","68,734,680","25,533,007",,"83,375,361","156,059,226,060","78,968,268","32,470,643",,"92,188,398","184,155,468,780","87,383,806","37,125,111",,"86,499,203","233,189,543,062","82,425,874","28,193,365",,"83,607,019","254,342,489,978","80,527,354","22,868,973",,"63,050,560","186,066,922,287","60,748,355","18,094,355",,"68,992,513","202,580,038,140","66,002,265","20,254,192",,"68,218,100","223,310,583,200","65,292,812","22,058,350",,"61,896,097","228,265,114,344","59,245,364","20,828,947",,"101,803,009","383,859,917,719","96,813,725","43,556,413","98,543,255","414,648,434,975","93,587,609","25,279,823","84,538,820","370,306,665,016","80,826,652","21,778,801","54,562,265","212,807,658,952","52,831,266","10,641,461"
198,Croacia,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,"1,814,788",,"3,391,726",,"375,677",,"130,917",,"200,056",,"1,442,423",,"73,167",,"97,706","205,999,852","85,622","148,399",,"386,262","892,219,919","359,207","208,798",,"110,931","279,156,225","102,114","36,209",,"141,241","552,292,887","157,627","175,104",,"213,702","562,356,899","197,837","20,479",,"4,345,973","10,230,484,516","3,975,242","2,150,445",,"532,328","1,251,793,658","490,933","39,913",,"3,051,320","6,151,405,165","2,370,089","7,140,447",,"9,408,102","19,105,818,477","7,601,002","15,495,997",,"262,261","565,972,891","232,110","5,737",,"1,272,241","2,422,274,598","1,121,437","342,436",,"1,090,693","1,995,304,821","1,025,685","255,826",,"1,093,595","1,968,643,609","1,009,697","35,130",,"7,861,970","14,982,862,349","5,828,307","8,279,191",,"8,328,109","16,818,235,482","5,320,679","8,021,044",,"85,353,821","255,207,276,687","69,508,331","22,962,032",,"5,111,550","16,360,945,920","4,353,842","5,261,487",,"32,255,769","96,085,781,283","28,811,289","5,201,229",,"1,153,161","3,397,122,861","1,073,561","81,142",,"1,095,843","3,569,935,615","1,026,836","49,707",,"6,205,013","23,292,658,210","6,040,891","53,987",,"4,519,570","17,035,968,438","4,387,162","77,476","2,851,301","11,851,969,780","2,661,506","161,661","19,022,132","79,181,902,733","13,668,444","295,103","5,928,814","23,061,935,798","5,855,845","122,332"
199,Cuba,"935,970",,"939,619",,"769,983",,"5,408,461",,"198,922",,"8,125,321",,"7,991,324",,"1,990,751",,"1,451,711",,"380,551",,"419,377",,"431,902",,"3,259,254",,"2,929,699",,"13,485,803",,"23,012,325",,"21,036,823",,"27,876,621",,"20,241,693",,"5,135,266",,"18,212,738","37,936,365,113","16,615,722","52,455,730",,"13,462,622","30,950,614,331","12,081,463","40,526,653",,"3,929,313","9,556,217,176","3,649,021","7,745,702",,"4,719,615","13,496,780,657","4,262,627","10,729,546",,"6,766,429","17,946,926,260","6,137,049","13,686,904",,"5,515,202","12,833,844,913","5,076,854","11,191,873",,"4,071,282","9,543,669,499","3,801,251","4,896,225",,"8,625,845","18,082,705,255","8,250,562","3,979,373",,"19,734,989","37,196,474,079","18,040,279","19,402,087",,"8,243,211","17,991,277,838","7,242,643","11,746,129",,"7,334,043","13,719,512,118","6,639,816","6,392,147",,"8,198,369","15,208,232,153","7,822,700","5,826,000",,"29,135,907","52,111,213,429","27,907,354","15,508,617",,"31,149,300","57,059,204,209","28,407,227","31,358,197",,"13,959,866","26,869,890,051","12,931,179","17,357,186",,"3,059,732","8,412,726,381","2,919,363","214,857",,"3,501,139","10,624,406,999","3,348,324","124,784",,"8,023,002","23,333,889,400","7,429,301","8,957,317",,"2,238,177","6,639,602,943","2,144,682","188,134",,"4,084,080","13,314,747,670","3,315,478","35,348,119",,"3,186,200","11,533,443,991","2,713,028","21,292,208",,"3,570,179","13,344,391,091","3,388,972","3,342,328","2,423,675","10,556,307,907","2,304,471","281,739","2,110,506","9,022,555,439","2,013,933","164,556","496,188","1,934,422,508","465,415","73,807"
200,"Curazao, Isla",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,"18,555,825","45,708,477,394","17,744,654","31,270,789",,"13,675,718","43,769,448,588","12,486,769","34,061,366",,"19,452,949","56,600,298,445","17,934,265","40,162,658",,"29,634,267","84,926,334,773","28,593,555","47,207,587",,"24,039","76,007,865","17,952","71,626",,"90,172","324,959,037","78,079","138,684",,"78,178","291,348,566","43,066","144,311","25,335","103,469,270","11,265","5,095",163,"694,700",161,1,"24,188","93,528,655","18,010","10,626"
203,Chad,0,,0,,0,,"3,120",,0,,0,,0,,0,,0,,0,,0,,"18,590",,0,,0,,6,,0,,"2,468",,"2,854,242",,"6,430",,"674,916",,"1,469,120","3,220,802,480","1,343,516","1,079,768",,0,0,0,0,,"470,223","1,161,214,140","413,023","500,583",,"63,349","184,821,348","57,821","60,575",,"4,620","12,623,387","4,300","2,000",,"25,082","58,182,189","23,913","17,007",,0,0,0,0,,"29,865","62,775,471","27,387","4,669",,"7,116","15,464,379","5,532","1,513",,"33,229","74,852,409","21,592","4,223",,0,0,0,0,,"3,471,345","6,174,650,638","3,381,853","806,794",,"29,641","53,505,662","29,066",106,,"44,352","78,753,398","42,840",993,,"52,156","108,477,832","50,796","8,497",,"311,951","1,015,241,709","290,165","200,041",,"3,383","10,581,801","3,234",38,,"1,134","3,311,655","1,129",3,,"3,135","9,035,068","2,929",150,,89,"293,758",86,3,,0,0,0,0,,0,0,0,0,"34,909","140,665,917","31,950",90,"9,346","40,362,303","8,495",76,"2,076","7,947,393","1,997",53
207,Checoslovaquia,"8,386,438",,"9,622,495",,"10,525,225",,"7,372,904",,"6,346,340",,"4,809,726",,"6,523,132",,"3,804,766",,"6,852,608",,"10,855,381",,"6,624,432",,"7,121,825",,"11,125,806",,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,Chile,"82,777,483",,"84,654,653",,"67,785,019",,"56,600,040",,"48,964,765",,"52,563,520",,"49,747,622",,"55,460,077",,"69,370,264",,"91,280,700",,"92,367,668",,"53,144,408",,"78,357,710",,"74,348,054",,"128,898,501",,"201,122,639",,"211,422,370",,"253,014,538",,"224,210,080",,"223,968,430",,"255,590,732","532,045,939,242","234,869,399","283,495,658",,"262,435,048","603,425,859,473","238,357,271","345,738,644",,"280,556,220","698,472,983,966","255,632,759","359,273,173",,"331,405,955","863,053,364,731","275,543,503","414,013,854",,"359,142,962","947,568,303,893","324,452,164","406,378,365",,"377,144,145","875,573,718,263","337,784,003","424,496,067",,"512,282,730","1,212,548,911,293","476,649,368","426,215,177",,"660,596,713","1,368,910,683,851","621,422,445","471,556,304",,"705,722,748","1,382,763,693,285","659,262,059","470,614,840",,"589,752,782","1,266,903,878,442","549,077,615","499,519,763",,"736,502,941","1,393,619,744,746","687,608,017","599,139,131",,"901,631,408","1,660,379,784,839","846,522,858","636,306,244",,"965,600,661","1,735,688,363,059","905,593,882","632,008,039",,"903,838,957","1,688,220,743,452","845,487,128","624,528,312",,"929,207,992","1,848,175,987,010","872,889,841","693,071,978",,"780,650,793","2,113,916,469,728","735,255,331","597,750,876",,"721,052,130","2,191,336,197,556","685,010,178","564,275,374",,"695,262,214","2,052,451,602,018","663,483,814","467,453,142",,"726,098,083","2,143,831,566,144","693,042,769","491,426,138",,"653,675,097","2,143,172,711,428","619,990,215","476,177,388",,"604,477,297","2,231,492,180,285","569,932,464","476,407,993",,"751,674,544","2,829,142,008,176","699,190,876","461,583,198","977,190,138","4,116,484,927,338","893,526,010","589,918,425","739,127,164","3,234,648,418,243","688,861,675","424,492,809","332,733,958","1,294,739,027,690","314,758,283","214,997,180"
215,China,"43,904,235",,"36,752,187",,"2,418,107",,"2,791,977",,"3,709,896",,"2,243,740",,"4,908,448",,"7,193,469",,"8,228,625",,"5,316,955",,"5,356,684",,"9,491,241",,"26,729,232",,"54,503,050",,"91,177,252",,"118,897,423",,"129,174,711",,"183,425,121",,"225,700,591",,"227,534,376",,"355,825,083","750,576,135,186","319,216,031","176,531,329",,"473,984,340","1,091,050,416,635","427,064,838","244,392,400",,"532,183,928","1,342,026,739,340","483,259,882","275,504,704",,"383,155,103","1,968,703,855,461","628,728,030","351,022,072",,"1,054,853,523","2,757,579,672,177","957,688,941","530,917,451",,"1,616,821,229","3,747,818,323,817","1,462,864,615","624,929,658",,"2,219,273,032","5,249,959,827,921","2,010,872,599","937,351,567",,"3,326,523,620","6,887,809,309,243","3,021,304,931","1,239,694,615",,"4,548,798,072","8,991,297,910,887","4,168,371,992","1,459,572,000",,"3,715,170,740","7,930,571,970,128","3,479,185,108","1,208,988,484",,"5,477,436,796","10,341,097,835,259","5,027,630,016","1,641,880,923",,"8,176,439,719","15,097,114,444,529","7,665,567,366","2,277,272,442",,"9,822,350,965","17,669,318,345,077","9,202,866,786","2,479,317,939",,"10,362,788,612","19,378,489,361,434","9,841,587,418","2,616,535,867",,"11,790,385,350","23,509,831,830,208","11,152,626,021","3,398,316,552",,"10,032,488,796","27,320,454,287,875","9,561,943,008","3,243,603,131",,"8,631,420,571","26,299,566,175,103","8,244,448,734","3,126,929,401",,"8,754,462,956","25,862,043,416,674","8,317,638,925","3,074,518,586",,"10,544,728,666","31,176,051,100,427","10,080,090,797","3,336,653,766",,"10,966,761,566","36,009,747,836,723","10,478,486,770","3,428,081,532",,"10,398,882,145","38,047,281,376,867","9,804,706,545","2,991,955,492",,"14,795,946,322","55,524,789,223,054","13,108,108,655","4,320,392,909","18,698,740,765","79,061,507,021,052","16,556,075,715","4,711,734,975","13,566,855,375","58,819,090,223,615","12,838,193,924","4,635,227,121","5,886,847,961","22,922,398,492,080","5,576,305,360","2,123,268,682"
216,ZF PERMANENTE CRISTALINA SAS UOZF,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,"1,938,397","7,518,606,150","1,938,397","18,352,700"
218,"Taiwán, Provincia de China","20,369,717",,"28,744,494",,"17,675,137",,"10,818,914",,"7,056,404",,"4,386,717",,"11,975,932",,"19,922,539",,"27,501,864",,"30,268,536",,"32,201,461",,"30,735,672",,"58,032,620",,"104,858,086",,"114,528,885",,"132,679,797",,"140,926,815",,"150,209,670",,"129,065,160",,"97,129,883",,"141,338,391","296,204,952,637","130,735,685","39,958,761",,"163,537,085","376,069,289,316","151,825,879","45,773,939",,"161,600,491","403,648,419,850","151,005,640","44,538,627",,"135,120,896","472,936,834,068","154,670,831","50,143,321",,"197,499,580","519,345,899,778","184,989,014","52,893,788",,"226,821,349","526,300,295,677","210,335,092","52,468,209",,"277,132,861","655,255,638,433","258,886,862","69,231,256",,"304,892,214","633,553,234,399","284,085,506","67,104,820",,"376,585,955","743,679,216,587","353,708,444","81,119,285",,"294,172,760","637,713,167,992","279,503,079","79,905,890",,"339,264,721","642,837,684,636","316,082,500","86,463,739",,"500,128,789","921,809,098,479","477,995,839","105,935,243",,"564,483,048","1,014,838,786,350","535,023,534","122,914,298",,"557,202,812","1,041,106,427,823","532,954,202","113,682,494",,"620,253,059","1,238,511,944,837","586,691,882","138,406,784",,"523,142,750","1,415,511,357,690","497,995,311","134,995,865",,"432,825,753","1,315,940,838,688","415,333,788","119,794,203",,"417,698,052","1,233,067,303,384","398,981,201","105,774,012",,"425,758,091","1,255,379,734,444","409,556,887","101,068,539",,"409,442,423","1,342,276,154,224","393,422,280","93,681,186",,"349,654,309","1,279,547,394,362","333,667,480","78,504,488",,"519,328,696","1,951,976,569,874","463,387,049","116,691,854","538,512,682","2,263,723,431,465","485,480,921","92,786,506","376,759,168","1,637,921,873,258","360,696,330","67,402,550","151,534,732","590,579,466,772","145,180,130","26,511,175"
221,Chipre,"4,313",,0,,0,,"9,649",,0,,0,,0,,0,,0,,"13,995",,"15,842",,"63,097",,"2,913,251",,0,,"17,503",,"16,951",,"83,838",,"46,286",,"202,158",,"39,749",,"94,402","185,236,935","87,734","45,866",,"13,842","31,788,774","12,171","6,449",,"38,787","92,162,412","34,266","15,036",,"1,052,224","90,293,301","23,244","8,771",,"15,894","42,845,463","14,214","2,292",,"53,329","122,557,152","52,221",275,,"41,854","94,924,122","35,045","17,969",,"102,952","205,057,052","89,518","134,857",,"1,577,794","3,459,861,889","1,505,115","611,246",,"41,752","90,842,243","36,547","51,285",,"84,043","157,303,568","72,221","28,791",,"520,221","936,932,067","490,545","114,232",,"687,681","1,225,325,648","612,097","464,822",,"1,643,426","2,910,814,902","1,628,941","395,033",,"572,861","1,203,026,988","561,415","23,780",,"32,238","98,001,696","26,992","28,842",,"91,078","266,437,096","87,044","14,152",,"911,207","2,730,025,821","885,568","6,365",,"546,293","1,591,473,298","507,273","152,094",,"1,803,936","5,978,458,868","1,776,591","82,672",,"2,549,008","9,435,875,190","2,510,653","164,610",,"4,064,341","15,111,276,361","3,877,929","402,682","1,457,616","6,684,030,799","1,311,430","188,460","566,673","2,504,922,699","534,890","94,369","218,138","851,041,508","196,995","53,206"
225,ZFP Shell,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,0,"1,545","6,337,627",516,"4,600",0,0,0,0
226,ZFPE Pepsico Antioquia,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,88,"346,201",88,"1,090"
229,Benin,0,,0,,"6,521",,0,,0,,"125,692",,"12,054",,"17,994",,"23,311",,0,,"50,005",,"141,401",,"44,544",,"47,965",,"140,086",,"82,503",,"199,135",,"266,606",,"243,600",,"555,561",,"4,272,575","9,224,374,867","3,921,441","2,922,729",,"401,096","927,086,532","362,102","299,257",,"460,409","1,085,270,173","447,163","29,195",,"1,071,355","2,076,337,052","690,802","102,942",,"980,762","2,500,682,155","948,811","5,263",,"775,101","1,797,468,326","750,188","4,207",,"653,544","1,485,668,331","617,672","7,979",,"322,980","654,267,181","312,996","1,448",,"1,331,938","2,713,915,403","1,281,767","8,249",,"714,537","1,707,422,172","684,929","3,980",,"63,204","122,801,914","57,903",455,,"54,173","104,467,802","49,083","1,539",,"74,706","135,706,043","69,089","17,274",,"3,009","5,608,172","1,380",5,,"6,107","11,801,886","3,682",61,,"1,094,971","3,089,096,106","1,032,558","711,388",,"2,418,250","7,124,138,443","2,297,849","1,539,829",,"1,088","3,194,155",644,4,,"14,244","41,406,051","11,258","2,754",,"5,020","16,474,740","4,732",6,,"5,863","22,128,449","5,096",206,,"17,950","65,740,528","15,483",705,"15,282","60,812,119","14,147",95,"2,272","10,062,332","1,161",4,"4,691","18,551,364","3,812",32
232,Dinamarca,"20,616,231",,"12,082,305",,"21,547,703",,"12,427,710",,"25,100,491",,"15,433,451",,"10,434,210",,"10,241,727",,"11,270,431",,"11,869,136",,"13,724,723",,"14,750,898",,"33,381,998",,"25,296,061",,"39,063,032",,"50,933,036",,"32,985,425",,"27,377,913",,"39,287,015",,"23,821,075",,"31,735,365","66,182,100,146","29,636,584","56,080,992",,"32,621,700","75,171,335,770","30,197,494","67,285,120",,"31,224,448","77,279,627,354","28,846,328","80,982,412",,"34,555,386","85,036,254,450","27,352,364","56,191,771",,"21,423,842","56,460,447,712","20,227,492","4,128,460",,"30,250,158","69,945,887,570","27,933,998","28,724,687",,"46,116,527","108,341,408,338","42,344,867","46,112,782",,"44,580,507","92,629,597,712","42,057,075","4,412,841",,"78,046,329","155,708,889,993","73,379,274","33,322,431",,"51,507,161","111,770,741,924","49,295,504","22,639,644",,"67,863,069","128,862,426,426","64,761,585","8,053,434",,"83,498,236","154,186,648,955","79,346,276","5,761,016",,"95,521,911","171,395,636,735","91,357,931","5,328,634",,"133,383,996","250,700,062,244","128,027,273","36,938,171",,"124,030,898","249,805,251,890","119,016,718","35,838,728",,"124,030,439","331,661,888,421","118,996,182","103,627,334",,"111,965,012","340,583,968,317","108,835,638","33,767,364",,"107,143,617","316,425,424,328","103,335,082","6,214,960",,"128,639,226","378,463,610,933","124,925,412","36,173,455",,"137,778,044","450,340,942,282","134,192,084","8,514,788",,"121,104,964","444,536,220,567","117,661,718","8,572,033",,"154,898,175","577,725,533,192","148,637,524","37,984,668","172,144,452","733,746,752,924","163,474,283","16,227,763","187,916,843","817,350,500,533","180,806,513","6,897,724","103,350,549","402,894,922,774","100,757,836","3,856,777"
235,Dominica,"71,492",,0,,"445,711",,0,,"1,953",,0,,0,,0,,"5,829",,0,,"10,038",,690,,0,,"87,748",,"8,628",,244,,"7,259",,"13,999",,"31,213",,"46,790",,"25,066","54,846,207","23,004",685,,"44,727","102,113,968","41,568","19,412",,144,"327,207",50,16,,"11,766","17,732,729","5,648",901,,98,"245,898",86,37,,"115,345","267,733,469","106,530","22,508",,"20,093","46,324,771","17,395","2,906",,"311,976","664,257,145","286,852","5,288",,"947,345","1,857,146,506","688,818","7,398,367",,"1,063,634","2,429,480,913","1,026,940","1,375,347",,"52,232","96,283,134","51,166","2,806",,"506,667","922,857,584","139,009","14,103,976",,"268,678","476,145,896","90,655","7,011,963",,"2,572","4,632,805","2,481",204,,"28,548","55,212,702","25,584","7,175",,"10,990","26,920,491","8,741",504,,"203,311","658,515,974","96,138","7,089,992",,"88,740","267,127,539","87,481","2,945",,"2,746","8,419,433","2,711",13,,"1,357","4,233,457","1,345",7,,"8,813","30,032,529","8,771",30,,"238,263","904,832,494","232,984","106,421","3,312","13,759,190","3,242",82,"19,186","81,742,734","16,582","1,162","20,319","79,827,424","19,852",244
239,Ecuador,"75,502,480",,"82,875,976",,"89,555,652",,"159,264,399",,"68,689,286",,"79,885,147",,"46,585,766",,"36,507,335",,"57,870,185",,"47,408,432",,"44,611,188",,"39,625,280",,"89,818,200",,"185,949,653",,"259,492,575",,"273,489,453",,"323,819,913",,"384,851,085",,"308,403,853",,"252,832,819",,"316,791,160","660,457,745,950","302,487,765","674,610,668",,"317,953,513","731,892,072,701","302,548,101","642,868,245",,"365,539,123","923,368,961,462","349,110,842","586,354,172",,"431,422,643","1,180,031,106,431","394,534,066","599,683,656",,"412,471,817","1,085,209,464,017","396,033,961","590,155,776",,"529,000,841","1,227,357,285,645","511,468,992","559,218,427",,"696,929,148","1,651,496,096,194","677,337,081","689,841,737",,"732,791,942","1,521,104,877,646","712,448,725","677,303,902",,"809,616,003","1,581,678,459,442","786,848,905","566,823,701",,"694,566,505","1,492,310,955,972","674,669,640","539,091,881",,"834,935,735","1,579,426,977,236","814,548,143","476,587,988",,"1,065,845,522","1,967,203,867,272","1,040,962,903","595,067,147",,"1,089,905,712","1,960,128,178,767","1,063,698,622","624,504,557",,"881,686,800","1,645,558,704,498","855,519,863","643,904,180",,"918,291,534","1,830,131,930,867","892,532,409","632,866,685",,"783,082,802","2,125,714,901,140","759,620,274","615,034,028",,"804,784,490","2,445,464,325,156","779,796,904","753,057,297",,"715,385,488","2,110,481,653,795","692,703,984","621,437,780",,"811,934,464","2,386,668,323,363","785,912,688","651,460,332",,"824,175,153","2,698,509,584,552","798,949,820","668,511,176",,"789,901,676","2,889,771,725,802","766,884,582","617,406,055",,"830,280,516","3,121,084,063,367","803,086,364","635,286,500","941,366,291","3,992,194,642,736","912,359,365","597,516,471","760,314,482","3,300,464,122,812","734,941,444","490,034,718","324,966,348","1,266,090,925,471","314,875,436","229,399,706"
240,Egipto,"208,967",,"164,092",,"214,480",,"13,366",,"24,819",,528,,"11,362",,"31,491",,"3,332,910",,"23,482",,"1,877",,"50,269",,"47,101",,"137,000",,"634,599",,"268,744",,"280,663",,"1,291,133",,"1,673,598",,"1,460,506",,"2,061,275","4,299,497,769","1,925,568","757,497",,"1,334,888","3,073,587,498","1,224,154","476,365",,"1,394,298","3,692,941,175","1,274,321","370,200",,"1,895,840","5,344,597,089","1,671,556","1,246,030",,"2,577,740","6,768,191,128","2,208,329","2,800,646",,"3,433,766","7,974,678,401","2,814,941","5,602,574",,"4,345,513","10,215,718,371","3,612,142","6,673,805",,"5,065,800","10,488,377,382","4,136,779","8,226,016",,"11,157,606","21,638,352,967","9,742,452","12,957,534",,"5,937,554","12,803,566,282","5,100,764","8,391,846",,"10,239,516","19,672,074,371","8,814,203","16,657,043",,"7,838,539","14,444,919,549","6,949,413","8,924,905",,"11,043,255","19,895,601,075","9,849,068","10,789,308",,"26,754,704","49,649,852,287","23,991,821","51,824,080",,"10,661,241","21,200,443,869","9,383,597","15,908,060",,"11,100,590","29,993,417,806","9,979,139","12,403,805",,"9,925,300","29,803,923,286","9,027,403","9,815,452",,"17,840,198","52,805,568,998","16,028,890","35,798,144",,"11,714,417","34,390,467,990","10,807,606","10,024,605",,"13,563,966","44,255,143,155","12,397,540","23,479,798",,"11,100,697","40,649,595,899","10,206,417","15,139,511",,"22,294,380","82,543,955,176","19,697,087","25,095,492","25,588,713","107,314,685,099","21,203,093","16,665,342","18,818,274","83,075,161,272","16,607,789","26,119,592","5,279,657","20,568,966,966","4,820,921","4,686,901"
