,ESTU_TIPODOCUMENTO,ESTU_NACIONALIDAD,ESTU_GENERO,ESTU_FECHANACIMIENTO,PERIODO,ESTU_CONSECUTIVO,ESTU_ESTUDIANTE,ESTU_PAIS_RESIDE,ESTU_TIENEETNIA,ESTU_DEPTO_RESIDE,ESTU_COD_RESIDE_DEPTO,ESTU_MCPIO_RESIDE,ESTU_COD_RESIDE_MCPIO,FAMI_EDUCACIONPADRE,FAMI_EDUCACIONMADRE,FAMI_ESTRATOVIVIENDA,FAMI_PERSONASHOGAR,FAMI_CUARTOSHOGAR,FAMI_TIENEINTERNET,FAMI_TIENECOMPUTADOR,FAMI_TIENELAVADORA,FAMI_TIENEHORNOMICROOGAS,FAMI_TIENESERVICIOTV,FAMI_TIENEAUTOMOVIL,FAMI_TIENEMOTOCICLETA,FAMI_TIENECONSOLAVIDEOJUEGOS,FAMI_NUMLIBROS,ESTU_DEDICACIONLECTURADIARIA,ESTU_DEDICACIONINTERNET,ESTU_HORASSEMANATRABAJA,ESTU_TIPOREMUNERACION,FAMI_COMELECHEDERIVADOS,FAMI_COMECARNEPESCADOHUEVO,FAMI_COMECEREALFRUTOSLEGUMBRE,FAMI_TRABAJOLABORPADRE,FAMI_TRABAJOLABORMADRE,FAMI_SITUACIONECONOMICA,COLE_COD_DANE_ESTABLECIMIENTO,COLE_CODIGO_ICFES,COLE_NOMBRE_ESTABLECIMIENTO,COLE_JORNADA,COLE_GENERO,COLE_NATURALEZA,COLE_CALENDARIO,COLE_BILINGUE,COLE_CARACTER,COLE_COD_DANE_SEDE,COLE_NOMBRE_SEDE,COLE_SEDE_PRINCIPAL,COLE_AREA_UBICACION,COLE_COD_MCPIO_UBICACION,COLE_MCPIO_UBICACION,COLE_COD_DEPTO_UBICACION,COLE_DEPTO_UBICACION,ESTU_PRIVADO_LIBERTAD,ESTU_COD_MCPIO_PRESENTACION,ESTU_MCPIO_PRESENTACION,ESTU_DEPTO_PRESENTACION,ESTU_COD_DEPTO_PRESENTACION,PUNT_MATEMATICAS,DESEMP_MATEMATICAS,PERCENTIL_MATEMATICAS,PUNT_INGLES,PERCENTIL_INGLES,DESEMP_INGLES,PUNT_C_NATURALES,DESEMP_C_NATURALES,PERCENTIL_C_NATURALES,PUNT_LECTURA_CRITICA,DESEMP_LECTURA_CRITICA,PERCENTIL_LECTURA_CRITICA,PUNT_SOCIALES_CIUDADANAS,DESEMP_SOCIALES_CIUDADANAS,PERCENTIL_SOCIALES_CIUDADANAS,PUNT_GLOBAL,PERCENTIL_GLOBAL,PERCENTIL_ESPECIAL_GLOBAL,ESTU_INSE_INDIVIDUAL,ESTU_NSE_INDIVIDUAL,ESTU_NSE_ESTABLECIMIENTO,ESTU_ESTADOINVESTIGACION
391,TI,COLOMBIA,F,08/11/2005,20224,SB11202240234478,ESTUDIANTE,COLOMBIA,No,CAUCA,19.0,POPAYÁN,19001.0,Educación profesional incompleta,Secundaria (Bachillerato) completa,Estrato 1,1 a 2,Dos,Si,Si,Si,No,No,No,Si,No,11 A 25 LIBROS,Entre 30 y 60 minutos,Más de 3 horas,0,"Si, en efectivo",Nunca o rara vez comemos eso,Nunca o rara vez comemos eso,Nunca o rara vez comemos eso,"Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente)","Trabaja como personal de limpieza, mantenimiento, seguridad o construcción",Igual,119001003990.0,185801.0,INSTITUCION EDUCATIVA RAFAEL POMBO,MAÑANA,MIXTO,OFICIAL,A,N,ACADÉMICO,119001003990.0,SEDE RAFAEL POMBO,S,URBANO,19001.0,POPAYÁN,19.0,CAUCA,N,19001,POPAYÁN,CAUCA,19,49,2,43,57.0,73.0,A1,56,3,73,65,3,86,63,3,88,291,77.0,,48.0514651089068,2.0,3.0,PUBLICAR
392,TI,COLOMBIA,F,17/12/2004,20224,SB11202240610253,ESTUDIANTE,COLOMBIA,No,VALLE,76.0,CALI,76001.0,Educación profesional completa,Secundaria (Bachillerato) incompleta,Estrato 2,3 a 4,Dos,Si,No,No,No,Si,No,Si,No,11 A 25 LIBROS,Entre 1 y 2 horas,Más de 3 horas,0,No,3 a 5 veces por semana,Nunca o rara vez comemos eso,1 o 2 veces por semana,"Trabaja por cuenta propia (por ejemplo plomero, electricista)","Trabaja como personal de limpieza, mantenimiento, seguridad o construcción",Mejor,376001030906.0,195081.0,LICEO JUAN CAMILO,MAÑANA,MIXTO,NO OFICIAL,A,N,TÉCNICO,376001030906.0,COLEGIO JUAN CAMILO,S,URBANO,76001.0,CALI,76.0,VALLE,N,76001,CALI,VALLE,76,29,1,4,33.0,7.0,A-,37,1,13,38,2,9,31,1,7,168,4.0,,46.0355826181822,2.0,2.0,PUBLICAR
393,TI,COLOMBIA,F,28/12/2004,20224,SB11202240416779,ESTUDIANTE,COLOMBIA,Si,VAUPES,97.0,MITÚ,97001.0,Secundaria (Bachillerato) incompleta,Secundaria (Bachillerato) incompleta,Sin Estrato,5 a 6,Dos,No,No,No,No,No,No,No,No,0 A 10 LIBROS,Entre 1 y 2 horas,No Navega Internet,0,No,Nunca o rara vez comemos eso,Nunca o rara vez comemos eso,Nunca o rara vez comemos eso,"Es agricultor, pesquero o jornalero","Es agricultor, pesquero o jornalero",Peor,297001002298.0,147082.0,I.E.D. DE  VILLAFÁTIMA,MAÑANA,MIXTO,OFICIAL,A,,ACADÉMICO,297001002298.0,COLEGIO DEPARTAMENTAL AGROPECUARIO DE VILLAFÁTIMA,S,RURAL,97001.0,MITÚ,97.0,VAUPES,N,97001,MITÚ,VAUPES,97,36,2,12,49.0,52.0,A1,34,1,6,38,2,9,42,2,36,192,14.0,31.0,29.4067529699003,1.0,1.0,PUBLICAR
394,TI,COLOMBIA,M,06/09/2005,20224,SB11202240204445,ESTUDIANTE,COLOMBIA,No,ATLANTICO,8.0,PALMAR DE VARELA,8520.0,Primaria incompleta,Secundaria (Bachillerato) incompleta,Estrato 1,3 a 4,Tres,Si,No,Si,No,Si,No,No,No,0 A 10 LIBROS,Más de 2 horas,Entre 1 y 3 horas,0,No,1 o 2 veces por semana,3 a 5 veces por semana,3 a 5 veces por semana,"Trabaja por cuenta propia (por ejemplo plomero, electricista)","Trabaja como personal de limpieza, mantenimiento, seguridad o construcción",Igual,108520000041.0,799635.0,INSTITUCION EDUCATIVA TECNICA COMERCIAL DE PALMAR DE VARELA,UNICA,MIXTO,OFICIAL,A,N,TÉCNICO,108520000301.0,MARIA BERNARDA,N,URBANO,8520.0,PALMAR DE VARELA,8.0,ATLANTICO,N,8685,SANTO TOMÁS,ATLANTICO,8,69,3,94,75.0,96.0,B1,69,3,97,73,4,98,66,3,94,348,97.0,,44.8817909385723,2.0,2.0,PUBLICAR
395,TI,COLOMBIA,F,27/09/2005,20224,SB11202240267520,ESTUDIANTE,COLOMBIA,No,BOGOTÁ,11.0,BOGOTÁ D.C.,11001.0,Técnica o tecnológica completa,Educación profesional completa,Estrato 4,3 a 4,Cuatro,Si,Si,Si,Si,Si,Si,No,Si,MÁS DE 100 LIBROS,30 minutos o menos,Entre 1 y 3 horas,0,No,Todos o casi todos los días,1 o 2 veces por semana,Todos o casi todos los días,"Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Trabaja como profesional (por ejemplo médico, abogado, ingeniero)",Igual,311848001118.0,20198.0,GIMNASIO LOS ANDES,COMPLETA,MIXTO,NO OFICIAL,A,N,ACADÉMICO,311848001118.0,GIMNASIO LOS ANDES,S,URBANO,11001.0,BOGOTÁ D.C.,11.0,BOGOTÁ,N,11001,BOGOTÁ D.C.,BOGOTÁ,11,65,3,89,78.0,98.0,B1,65,3,93,66,4,89,41,2,32,303,83.0,,69.9861296872923,4.0,4.0,PUBLICAR
396,TI,COLOMBIA,F,25/02/2006,20224,SB11202240016703,ESTUDIANTE,COLOMBIA,No,BOGOTÁ,11.0,BOGOTÁ D.C.,11001.0,Educación profesional completa,Educación profesional completa,Estrato 3,5 a 6,Cuatro,Si,Si,Si,Si,Si,Si,No,No,26 A 100 LIBROS,30 minutos o menos,Entre 1 y 3 horas,0,No,3 a 5 veces por semana,Todos o casi todos los días,Todos o casi todos los días,Es vendedor o trabaja en atención al público,"Trabaja como profesional (por ejemplo médico, abogado, ingeniero)",Igual,311001029342.0,698142.0,COLEGIO SAN ALEJO,UNICA,MIXTO,NO OFICIAL,A,,NO APLICA,311001029342.0,COLEGIO SAN ALEJO - SEDE PRINCIPAL,S,URBANO,11001.0,BOGOTÁ D.C.,11.0,BOGOTÁ,N,11001,BOGOTÁ D.C.,BOGOTÁ,11,69,3,94,62.0,83.0,A2,67,3,95,78,4,100,69,3,97,350,97.0,,67.7102154487091,4.0,4.0,PUBLICAR
397,TI,COLOMBIA,M,12/06/2004,20224,SB11202240573478,ESTUDIANTE,COLOMBIA,No,QUINDIO,63.0,ARMENIA,63001.0,Secundaria (Bachillerato) incompleta,Secundaria (Bachillerato) completa,Estrato 2,3 a 4,Cuatro,Si,No,Si,Si,Si,No,No,No,11 A 25 LIBROS,No leo por entretenimiento,30 minutos o menos,Más de 30 horas,"Si, en efectivo",3 a 5 veces por semana,3 a 5 veces por semana,1 o 2 veces por semana,"Trabaja como personal de limpieza, mantenimiento, seguridad o construcción","Trabaja como personal de limpieza, mantenimiento, seguridad o construcción",Peor,163001001961.0,706804.0,INSTITUCION EDUCATIVA BOSQUES DE PINARES,UNICA,MIXTO,OFICIAL,A,,TÉCNICO/ACADÉMICO,163001001961.0,BOSQUES DE PINARES,S,URBANO,63001.0,ARMENIA,63.0,QUINDIO,N,63001,ARMENIA,QUINDIO,63,58,3,72,55.0,68.0,A1,57,3,77,51,3,44,59,3,80,281,71.0,,47.3337641371329,2.0,2.0,PUBLICAR
398,TI,COLOMBIA,F,07/08/2005,20224,SB11202240147785,ESTUDIANTE,COLOMBIA,No,BOGOTÁ,11.0,BOGOTÁ D.C.,11001.0,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 2,5 a 6,Tres,No,Si,Si,No,Si,No,No,No,11 A 25 LIBROS,30 minutos o menos,30 minutos o menos,0,No,Todos o casi todos los días,3 a 5 veces por semana,1 o 2 veces por semana,"Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente)",Igual,111001094889.0,155267.0,COLEGIO LA TOSCANA - LISBOA (IED),MAÑANA,MIXTO,OFICIAL,A,N,ACADÉMICO,111001094889.0,CENT EDUC DIST LA TOSCANA,S,URBANO,11001.0,BOGOTÁ D.C.,11.0,BOGOTÁ,N,11001,BOGOTÁ D.C.,BOGOTÁ,11,71,4,96,63.0,84.0,A2,57,3,78,60,3,73,57,3,76,307,85.0,,52.4855913881123,3.0,2.0,PUBLICAR
399,TI,COLOMBIA,M,17/11/2003,20224,SB11202240072204,ESTUDIANTE,COLOMBIA,No,VALLE,76.0,BUENAVENTURA,76109.0,Secundaria (Bachillerato) incompleta,Secundaria (Bachillerato) completa,Estrato 2,3 a 4,Dos,Si,No,Si,No,Si,No,No,No,0 A 10 LIBROS,30 minutos o menos,Entre 30 y 60 minutos,0,No,Nunca o rara vez comemos eso,1 o 2 veces por semana,1 o 2 veces por semana,"Es operario de máquinas o conduce vehículos (taxita, chofer)","Trabaja en el hogar, no trabaja o estudia",Igual,176109001806.0,18036.0,TEOFILO ROBERTO POTES,MAÑANA,MIXTO,OFICIAL,A,N,TÉCNICO,176109001806.0,INSTITTUCION EDUCATIVA TEOFILO ROBERTO POTES,S,URBANO,76109.0,BUENAVENTURA,76.0,VALLE,N,76109,BUENAVENTURA,VALLE,76,55,3,63,31.0,3.0,A-,49,2,51,47,2,32,37,1,21,229,38.0,,45.5382351392679,2.0,2.0,PUBLICAR
400,TI,COLOMBIA,F,12/11/2006,20224,SB11202240430076,ESTUDIANTE,COLOMBIA,No,CAQUETA,18.0,PUERTO RICO,18592.0,Secundaria (Bachillerato) completa,Técnica o tecnológica completa,Estrato 2,3 a 4,Tres,Si,Si,Si,Si,Si,Si,Si,No,0 A 10 LIBROS,Entre 30 y 60 minutos,Entre 1 y 3 horas,0,No,3 a 5 veces por semana,Todos o casi todos los días,1 o 2 veces por semana,"Trabaja por cuenta propia (por ejemplo plomero, electricista)","Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente)",Igual,183592000323.0,28597.0,I.E SAGRADOS CORAZONES,MAÑANA,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,183592000323.0,SAGRADOS CORAZONES,S,URBANO,18592.0,PUERTO RICO,18.0,CAQUETA,N,18592,PUERTO RICO,CAQUETA,18,66,3,90,51.0,57.0,A1,54,2,69,61,3,76,55,2,72,292,77.0,,58.3235619731862,3.0,2.0,PUBLICAR
401,CC,COLOMBIA,F,06/12/2003,20224,SB11202240590534,ESTUDIANTE,COLOMBIA,No,CASANARE,85.0,YOPAL,85001.0,Secundaria (Bachillerato) incompleta,Primaria completa,Estrato 2,1 a 2,Dos,No,No,No,No,No,No,No,No,11 A 25 LIBROS,Entre 30 y 60 minutos,30 minutos o menos,Más de 30 horas,"Si, en efectivo",Nunca o rara vez comemos eso,1 o 2 veces por semana,Nunca o rara vez comemos eso,"Trabaja como personal de limpieza, mantenimiento, seguridad o construcción","Trabaja en el hogar, no trabaja o estudia",Peor,185001000268.0,72330.0,IE BRAULIO GONZALEZ,SABATINA,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,185001000268.0,BRAULIO GONZALEZ,S,URBANO,85001.0,YOPAL,85.0,CASANARE,N,85001,YOPAL,CASANARE,85,44,2,31,33.0,7.0,A-,39,1,18,45,2,24,38,1,24,204,22.0,,35.0185730111177,1.0,2.0,PUBLICAR
402,TI,COLOMBIA,M,28/06/2005,20224,SB11202240523335,ESTUDIANTE,COLOMBIA,No,BOGOTÁ,11.0,BOGOTÁ D.C.,11001.0,Primaria completa,Primaria incompleta,Estrato 3,3 a 4,Dos,No,No,Si,Si,Si,No,No,No,0 A 10 LIBROS,30 minutos o menos,Entre 30 y 60 minutos,Entre 11 y 20 horas,"Si, en efectivo",3 a 5 veces por semana,Todos o casi todos los días,3 a 5 veces por semana,"Trabaja como personal de limpieza, mantenimiento, seguridad o construcción","Trabaja por cuenta propia (por ejemplo plomero, electricista)",Peor,111001028258.0,215723.0,COLEGIO RAFAEL BERNAL JIMENEZ (IED),UNICA,MIXTO,OFICIAL,A,N,ACADÉMICO,111001028258.0,COL DIST RAFAEL BERNAL JIMENEZ,S,URBANO,11001.0,BOGOTÁ D.C.,11.0,BOGOTÁ,N,11001,BOGOTÁ D.C.,BOGOTÁ,11,42,2,26,39.0,26.0,A-,40,1,22,45,2,26,37,1,23,204,22.0,,43.8288101982807,2.0,3.0,PUBLICAR
403,TI,COLOMBIA,F,12/11/2005,20224,SB11202240488383,ESTUDIANTE,COLOMBIA,No,CUNDINAMARCA,25.0,VIOTÁ,25878.0,Educación profesional incompleta,Técnica o tecnológica completa,Estrato 1,3 a 4,Tres,Si,Si,Si,No,No,No,No,No,26 A 100 LIBROS,Entre 1 y 2 horas,Entre 1 y 3 horas,0,No,3 a 5 veces por semana,3 a 5 veces por semana,3 a 5 veces por semana,"Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente)","Trabaja en el hogar, no trabaja o estudia",Igual,125878000029.0,741355.0,INSTITUCIÓN EDUCATIVA DEPARTAMENTAL FRANCISCO JOSE DE CALDAS,UNICA,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,125878000029.0,INSTITUCIÓN EDUCATIVA DEPARTAMENTAL FRANCISCO JOSE DE CALDAS,S,URBANO,25878.0,VIOTÁ,25.0,CUNDINAMARCA,N,25878,VIOTÁ,CUNDINAMARCA,25,57,3,68,52.0,60.0,A1,52,2,62,57,3,65,55,2,70,275,68.0,,55.1555153228542,3.0,2.0,PUBLICAR
404,TI,COLOMBIA,F,07/05/2005,20224,SB11202240291673,ESTUDIANTE,COLOMBIA,No,BOYACA,15.0,TINJACÁ,15808.0,Primaria completa,Primaria completa,Estrato 2,7 a 8,Cuatro,No,No,No,No,No,No,Si,No,0 A 10 LIBROS,30 minutos o menos,Entre 30 y 60 minutos,Menos de 10 horas,"Si, en efectivo",1 o 2 veces por semana,1 o 2 veces por semana,1 o 2 veces por semana,"Es agricultor, pesquero o jornalero","Trabaja en el hogar, no trabaja o estudia",Peor,115676000013.0,5462.0,I.E. ALFONSO VANEGAS SIERRA,COMPLETA,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,115676000013.0,I.E. ALFONSO VANEGAS SIERRA - SEDE PRINCIPAL,S,URBANO,15676.0,SAN MIGUEL DE SEMA,15.0,BOYACA,N,15176,CHIQUINQUIRÁ,BOYACA,15,61,3,80,42.0,34.0,A-,60,3,84,57,3,63,54,2,67,284,73.0,,34.5873577261218,1.0,2.0,PUBLICAR
405,CC,COLOMBIA,M,03/02/2004,20224,SB11202240280104,ESTUDIANTE,COLOMBIA,Si,BOGOTÁ,11.0,BOGOTÁ D.C.,11001.0,Técnica o tecnológica incompleta,Educación profesional completa,Estrato 2,5 a 6,Tres,Si,Si,Si,No,Si,No,Si,Si,0 A 10 LIBROS,No leo por entretenimiento,Entre 1 y 3 horas,Entre 11 y 20 horas,"Si, en efectivo",3 a 5 veces por semana,Todos o casi todos los días,1 o 2 veces por semana,"Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente)","Trabaja como profesional (por ejemplo médico, abogado, ingeniero)",Mejor,111001076767.0,67108.0,COLEGIO CASTILLA (IED),TARDE,MIXTO,OFICIAL,A,N,ACADÉMICO,111001076767.0,CENT EDUC DIST BAS Y MEDIA NUEVA CASTILLA,S,URBANO,11001.0,BOGOTÁ D.C.,11.0,BOGOTÁ,N,11001,BOGOTÁ D.C.,BOGOTÁ,11,43,2,28,44.0,39.0,A-,42,2,29,48,2,34,37,1,21,213,27.0,,58.6563170082371,3.0,3.0,PUBLICAR
406,TI,COLOMBIA,F,11/01/2006,20224,SB11202240302003,ESTUDIANTE,COLOMBIA,No,ATLANTICO,8.0,SOLEDAD,8758.0,No sabe,Técnica o tecnológica completa,Estrato 1,5 a 6,Dos,Si,No,Si,Si,Si,No,No,No,11 A 25 LIBROS,Entre 30 y 60 minutos,Más de 3 horas,Menos de 10 horas,No,3 a 5 veces por semana,3 a 5 veces por semana,1 o 2 veces por semana,Es vendedor o trabaja en atención al público,"Trabaja en el hogar, no trabaja o estudia",Igual,108001004536.0,211045.0,INSTITUCION EDUCATIVA DISTRITAL INSTITUTO TECNICO DE COMERCIO BARRANQUILLA,UNICA,FEMENINO,OFICIAL,A,N,TÉCNICO,108001079544.0,INSTITUCION EDUCATIVA DISTRITAL INSTITUTO TECNICO DE COMERCIO BARRANQUILLA - SEDE 2,N,URBANO,8001.0,BARRANQUILLA,8.0,ATLANTICO,N,8001,BARRANQUILLA,ATLANTICO,8,61,3,80,67.0,89.0,A2,54,2,68,63,3,83,57,3,76,297,80.0,,50.7015111725961,2.0,3.0,PUBLICAR
407,TI,COLOMBIA,F,09/04/2006,20224,SB11202240150935,ESTUDIANTE,COLOMBIA,No,PUTUMAYO,86.0,SAN MIGUEL,86757.0,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 3,5 a 6,Cuatro,Si,Si,No,No,Si,Si,Si,No,0 A 10 LIBROS,30 minutos o menos,Entre 1 y 3 horas,Entre 21 y 30 horas,"Si, en especie",1 o 2 veces por semana,Nunca o rara vez comemos eso,1 o 2 veces por semana,"Trabaja por cuenta propia (por ejemplo plomero, electricista)","Es agricultor, pesquero o jornalero",Igual,286757000032.0,740316.0,IE RUR PUERTO EL SOL,UNICA,MIXTO,OFICIAL,A,,ACADÉMICO,286757000032.0,C.E.R. PUERTO EL SOL - SEDE PRINCIPAL,S,RURAL,86757.0,SAN MIGUEL,86.0,PUTUMAYO,N,86865,VALLE DEL GUAMUEZ,PUTUMAYO,86,50,2,47,46.0,45.0,A-,50,2,55,44,2,22,45,2,45,236,42.0,,47.4459096162347,2.0,2.0,PUBLICAR
408,TI,COLOMBIA,M,02/11/2003,20224,SB11202240449402,ESTUDIANTE,COLOMBIA,No,CESAR,20.0,VALLEDUPAR,20001.0,Técnica o tecnológica completa,Técnica o tecnológica completa,Estrato 3,9 o más,Cuatro,Si,No,Si,No,No,Si,Si,No,11 A 25 LIBROS,30 minutos o menos,Entre 1 y 3 horas,Menos de 10 horas,No,1 o 2 veces por semana,3 a 5 veces por semana,3 a 5 veces por semana,No sabe,"Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente)",Igual,120001068691.0,229807.0,COLEGIO LEONIDAS ACUÑA,UNICA,MIXTO,OFICIAL,A,N,ACADÉMICO,120001068691.0,IE LEONIDAS ACUÑA,S,URBANO,20001.0,VALLEDUPAR,20.0,CESAR,N,20001,VALLEDUPAR,CESAR,20,57,3,68,48.0,49.0,A1,41,2,25,53,3,51,45,2,45,245,48.0,,52.1404606587021,3.0,2.0,PUBLICAR
409,TI,COLOMBIA,M,04/06/2004,20224,SB11202240005906,ESTUDIANTE,COLOMBIA,No,CESAR,20.0,BOSCONIA,20060.0,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 4,5 a 6,Dos,Si,No,Si,Si,Si,Si,Si,No,0 A 10 LIBROS,30 minutos o menos,Entre 30 y 60 minutos,0,No,3 a 5 veces por semana,3 a 5 veces por semana,3 a 5 veces por semana,"Trabaja como personal de limpieza, mantenimiento, seguridad o construcción","Trabaja en el hogar, no trabaja o estudia",Igual,220060000069.0,657494.0,INSTITUCION EDUCATIVA SAN JUAN  BOSCO,MAÑANA,MIXTO,OFICIAL,A,,ACADÉMICO,220060000069.0,INSTITUCION EDUCATIVA SAN JUAN  BOSCO,S,URBANO,20060.0,BOSCONIA,20.0,CESAR,N,20060,BOSCONIA,CESAR,20,33,1,9,31.0,3.0,A-,36,1,11,36,2,7,31,1,8,169,4.0,,50.6806584814383,2.0,2.0,PUBLICAR
410,TI,COLOMBIA,F,17/12/2005,20224,SB11202240325589,ESTUDIANTE,COLOMBIA,No,ANTIOQUIA,5.0,MARINILLA,5440.0,Primaria incompleta,Primaria incompleta,Estrato 1,3 a 4,Dos,No,No,Si,No,No,No,No,No,0 A 10 LIBROS,30 minutos o menos,Entre 30 y 60 minutos,0,No,3 a 5 veces por semana,3 a 5 veces por semana,1 o 2 veces por semana,"Es agricultor, pesquero o jornalero","Trabaja en el hogar, no trabaja o estudia",Igual,205440000305.0,144345.0,I E R ROSALIA HOYOS,COMPLETA,MIXTO,OFICIAL,A,,ACADÉMICO,205440000305.0,I.E.R. ROSALIA HOYOS,S,RURAL,5440.0,MARINILLA,5.0,ANTIOQUIA,N,5440,MARINILLA,ANTIOQUIA,5,52,3,55,56.0,69.0,A1,56,3,73,61,3,77,55,2,72,280,71.0,,37.3785594689258,1.0,2.0,PUBLICAR
411,TI,COLOMBIA,F,16/06/2004,20224,SB11202240312379,ESTUDIANTE,COLOMBIA,No,BOGOTÁ,11.0,BOGOTÁ D.C.,11001.0,Secundaria (Bachillerato) completa,Técnica o tecnológica incompleta,Estrato 5,3 a 4,Dos,Si,Si,Si,No,Si,No,No,No,11 A 25 LIBROS,Entre 30 y 60 minutos,Entre 30 y 60 minutos,Entre 11 y 20 horas,"Si, en efectivo",3 a 5 veces por semana,3 a 5 veces por semana,1 o 2 veces por semana,"Es operario de máquinas o conduce vehículos (taxita, chofer)",Es vendedor o trabaja en atención al público,Igual,111001011908.0,714055.0,ESC. NORMAL SUPERIOR DISTRITAL MARIA MONTESSORI (IED),UNICA,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,111001011908.0,ESC. NORMAL SUPERIOR DISTRITAL MARIA MONTESSORI (IED) - SEDE PRINCIPAL,S,URBANO,11001.0,BOGOTÁ D.C.,11.0,BOGOTÁ,N,11001,BOGOTÁ D.C.,BOGOTÁ,11,59,3,76,59.0,78.0,A2,56,3,75,64,3,84,66,3,93,305,84.0,,52.2343002453706,3.0,3.0,PUBLICAR
412,TI,COLOMBIA,F,28/12/2003,20224,SB11202240344183,ESTUDIANTE,COLOMBIA,Si,MAGDALENA,47.0,FUNDACIÓN,47288.0,Primaria completa,Primaria completa,Estrato 2,1 a 2,Tres,No,No,No,No,No,No,No,No,0 A 10 LIBROS,No leo por entretenimiento,30 minutos o menos,Menos de 10 horas,No,Nunca o rara vez comemos eso,Todos o casi todos los días,Nunca o rara vez comemos eso,"Trabaja en el hogar, no trabaja o estudia","Es agricultor, pesquero o jornalero",Igual,247288001168.0,685412.0,INSTITUCION EDUCATIVA DEPARTAMENTAL AGOPECUARIA JUAN FRANCISCO OSPINA ,UNICA,MIXTO,OFICIAL,A,,ACADÉMICO,247288001214.0,ERM DIVINO NIÑO,N,RURAL,47288.0,FUNDACIÓN,47.0,MAGDALENA,N,47288,FUNDACIÓN,MAGDALENA,47,31,1,6,,,,45,2,40,30,1,1,38,1,24,180,,33.0,34.7336233471284,1.0,2.0,PUBLICAR
413,TI,COLOMBIA,F,17/07/2006,20224,SB11202240032914,ESTUDIANTE,COLOMBIA,No,ANTIOQUIA,5.0,ITAGÜÍ,5360.0,Secundaria (Bachillerato) incompleta,Secundaria (Bachillerato) incompleta,Estrato 2,3 a 4,Tres,Si,No,Si,No,No,No,No,No,0 A 10 LIBROS,No leo por entretenimiento,Entre 1 y 3 horas,Entre 21 y 30 horas,"Si, en efectivo",1 o 2 veces por semana,1 o 2 veces por semana,Nunca o rara vez comemos eso,No sabe,"Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc",Peor,105360000288.0,734863.0,INSTITUCION EDUCATIVA ENRIQUE VELEZ ESCOBAR,UNICA,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,105360000288.0,INSTITUCION EDUCATIVA ENRIQUE VELEZ,S,URBANO,5360.0,ITAGÜÍ,5.0,ANTIOQUIA,N,5360,ITAGÜÍ,ANTIOQUIA,5,57,3,69,50.0,54.0,A1,48,2,49,64,3,84,56,3,74,279,70.0,,42.9373283493067,2.0,3.0,PUBLICAR
414,TI,COLOMBIA,F,28/12/2004,20224,SB11202240392611,ESTUDIANTE,COLOMBIA,No,HUILA,41.0,GARZÓN,41298.0,Secundaria (Bachillerato) incompleta,Secundaria (Bachillerato) incompleta,Estrato 1,5 a 6,Tres,No,No,Si,No,Si,No,No,No,0 A 10 LIBROS,30 minutos o menos,30 minutos o menos,0,No,1 o 2 veces por semana,3 a 5 veces por semana,1 o 2 veces por semana,"Es agricultor, pesquero o jornalero","Trabaja en el hogar, no trabaja o estudia",Igual,141298001074.0,748731.0,INSTITUCION EDUCATIVA JENARO DIAZ JORDAN,UNICA,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,141298001074.0,JENARO DIAZ JORDAN,S,URBANO,41298.0,GARZÓN,41.0,HUILA,N,41298,GARZÓN,HUILA,41,34,1,9,38.0,20.0,A-,44,2,37,41,2,14,38,1,24,196,17.0,,41.9103313630257,2.0,2.0,PUBLICAR
